time,today,yesterday,same_day_last_week,avg_last_week,avg_last_month,baseline,absolute_deviation,relative_deviation
00h,9,12,11,6.42,4.85,7.4233,1.5767,0.2124
01h,3,5,1,1.85,1.92,1.59,1.41,0.8868
02h,1,0,0,0.28,0.82,0.3667,0.6333,1.7273
03h,1,0,0,0.42,0.46,0.2933,0.7067,2.4091
04h,0,0,1,0.42,0.21,0.5433,-0.5433,-1.0
05h,1,1,2,1.28,0.75,1.3433,-0.3433,-0.2556
06h,1,1,5,2.85,2.28,3.3767,-2.3767,-0.7038
07h,2,3,9,5.57,5.21,6.5933,-4.5933,-0.6967
08h,0,1,18,8.71,10.42,12.3767,-12.3767,-1.0
09h,2,9,30,20.0,19.07,23.0233,-21.0233,-0.9131
10h,55,51,45,29.42,28.35,34.2567,20.7433,0.6055
11h,36,44,38,33.71,28.5,33.4033,2.5967,0.0777
12h,51,39,39,27.57,25.42,30.6633,20.3367,0.6632
13h,36,41,43,25.85,24.21,31.02,4.98,0.1605
14h,32,35,36,26.14,25.21,29.1167,2.8833,0.099
15h,51,35,49,28.14,27.71,34.95,16.05,0.4592
16h,41,36,48,27.71,25.64,33.7833,7.2167,0.2136
17h,45,30,29,20.42,22.28,23.9,21.1,0.8828
18h,32,25,25,21.57,18.28,21.6167,10.3833,0.4803
19h,33,39,42,22.14,18.67,27.6033,5.3967,0.1955
20h,25,24,34,17.42,18.92,23.4467,1.5533,0.0662
21h,30,35,34,18.71,17.57,23.4267,6.5733,0.2806
22h,28,29,23,15.42,15.64,18.02,9.98,0.5538
23h,11,28,10,9.57,8.75,9.44,1.56,0.1653
